model,state,year,n,match_15,match_100,share_both_zero,mean_abs_diff,median_abs_diff,p90_abs_diff,p99_abs_diff,mean_signed,n_clean,match_15_clean,match_100_clean
taxsim,AK,2017,16848,1,1,1,0,0,0,0,0,12092,1,1
taxsim,AK,2017,3665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AK,2018,16697,1,1,1,0,0,0,0,0,12037,1,1
taxsim,AK,2018,3818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AK,2019,16513,1,1,1,0,0,0,0,0,11930,1,1
taxsim,AK,2019,4001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AK,2020,16529,1,1,1,0,0,0,0,0,11502,1,1
taxsim,AK,2020,3984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,AK,2021,1172,1,1,1,0,0,0,0,0,0,NA,NA
policyengine,AK,2021,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,AK,2022,1141,1,1,1,0,0,0,0,0,0,NA,NA
policyengine,AK,2022,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,AK,2023,1157,1,1,1,0,0,0,0,0,0,NA,NA
policyengine,AK,2023,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,AK,2024,1150,1,1,1,0,0,0,0,0,0,NA,NA
policyengine,AK,2024,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AL,2017,16848,0.3952991452991453,0.5197649572649573,0.14500237416904083,3020.3429771934393,74.65662461071958,5049.984980841564,38933.98686321881,2607.25905159006,12092,0.4178795898114456,0.5487925901422428
taxsim,AL,2017,3665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AL,2018,16697,0.39743666526921007,0.5217703779121998,0.13906689824519375,2927.512832943979,75.64284578375373,5538.873502395214,37914.267924463675,2530.9241413930035,12037,0.41953975243000746,0.5542078591011049
taxsim,AL,2018,3818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AL,2019,16513,0.40513534790770905,0.5278871192393871,0.13898140858717375,2840.482147482331,71.52053132859982,5172.873254587051,37027.257840996266,2399.8300971698186,11930,0.427661357921207,0.557921207041073
taxsim,AL,2019,4001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AL,2020,16529,0.3906467420896606,0.5179986690059895,0.14580434388045255,2781.7629865963804,82.79084389456239,5455.950291640929,34583.50531288069,2364.1968369711126,11502,0.41340636411058945,0.5466875326030256
taxsim,AL,2020,3984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,AL,2021,1172,0.4539249146757679,0.5972696245733788,0.1552901023890785,5102.71845952908,28.908204864602794,2599.435385998344,82634.84649602907,2888.0854436347677,363,0.768595041322314,0.8512396694214877
policyengine,AL,2021,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,AL,2022,1141,0.4618755477651183,0.6047326906222612,0.1446099912357581,14145.097047959318,27.36101389504438,2538.761895671705,82482.64807606518,12958.43325129595,424,0.7004716981132075,0.8042452830188679
policyengine,AL,2022,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,AL,2023,1157,0.4373379429559205,0.5929127052722558,0.13569576490924806,2342.1921796488123,40.479852211047046,2798.0412857924257,50339.782137111164,966.3857235701706,468,0.655982905982906,0.7649572649572649
policyengine,AL,2023,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
policyengine,AL,2024,1150,0.4373913043478261,0.5791304347826087,0.1443478260869565,3965.8229637449344,34.28966228569172,3509.4288603871655,59671.50699734721,2927.753320442635,460,0.658695652173913,0.7739130434782608
policyengine,AL,2024,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AR,2017,16848,0.281517094017094,0.40384615384615385,0.15283713200379867,9882.33671342894,257.32313795270557,9509.682847914815,154296.9785890393,-34.70046503425035,12092,0.3220310949388025,0.4366523321204102
taxsim,AR,2017,3665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AR,2018,16697,0.2684314547523507,0.3990537222255495,0.14619392705276396,10581.532898355748,256.50271582042797,10292.317641911566,152303.17260126528,-156.87824423567525,12037,0.30788402425853617,0.4355736479189167
taxsim,AR,2018,3818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taxsim,AR,2019,16513,0.30460849028038517,0.4314782292739054,0.16932114091927572,8768.092975109512,221.61155025974085,10091.501044368442,151389.89319538744,-315.2888023966155,11930,0.3345347862531433,0.4501257334450964
